,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
1235,엑스엑스,['웨이브'],[],"['하니', '황승언', '배인혁', '이종원', '김준경', '나은샘']",3.3,XX,2020,드라마/TV드라마,한국,15세 관람가,"스픽이지 바에서 일하는 업계 최고 바텐더가 뜻하지 않게 주변 커플의 문제를 해결해가면서 자신의 과거 사랑에 대한 상처를 극복하는 이야기. 5년 전 절친이었던 나나와 루미. 둘은 과거 한 사건 때문에 절교했다. 그 사이 루미는 업계 1위 바 ‘넘버 A’의 사장이 되었고, 나나는 스픽이지 바 ‘XX’의 헤드바텐더가 되었다. 최근 ‘넘버 A’의 매출 부진으로 자존심이 상한 루미는 능력 있는 바텐더를 알아보던 중, 다른 바의 사장들이 탐내는 바텐더가 나나라는 사실을 알게 되는데...",NAVER TV
1236,치아문단순적소미호,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['호일천', '심월', '왕재미', '고지정', '장하오진', '손녕']",4.2,致我们单纯的小美好,2017,로맨스/드라마/TV드라마,중국,12세 관람가,어릴적 죽마고우였던 두 친구의 19년에 걸친 사랑 이야기.,Tencent Video
1237,몽땅 내사랑,['웨이브'],"['강영선', '강영선', '강영선']","['김갑수', '박미선', '조권', '윤두준', '윤승아', '진이한']",3.2,몽땅 내사랑,2010,TV드라마,한국,15세 관람가,욕심꾸러기 팥쥐 가족의 고군분투 생존기를 그린 시트콤.,MBC
1238,드레이크 앤 조쉬,,['로져 크리스티안센'],"['드레이크 벨', '조쉬 펙', '미란다 코스그로브', '조나단 골드스틴', '낸시 설리반']",3.9,Drake & Josh,2004,TV드라마,미국,,"성격, 가치관 등등 완전히 서로 다른 두 아이가 이복형제가 되어 같은 방을 쓰게 되면서 일어나는 이야기",Nickelodeon
1239,오마메다 토와코와 세 명의 전 남편,['웨이브'],[],"['마츠 다카코', '오카다 마사키', '카쿠타 아키히로', '마츠다 류헤이', '이치카와 미카코', '타카하시 메리준']",4.1,大豆田とわ子と三人の元夫,2021,드라마/TV드라마,일본,,"3번 결혼하고, 3번 이혼한 여주인공이 매일매일 3명의 전 남편에게 휘둘리며 고군분투하는 이야기",KTV
1240,최애,['왓챠'],[],"['요시타카 유리코', '마츠시타 코헤이', '이우라 아라타', '타나카 미나미', '야쿠시마루 히로코', '오이카와 미츠히로']",4.3,最愛,2021,스릴러/로맨스/드라마/TV드라마,일본,15세 관람가,"모든 것은 사랑하고 있기에, 진상은 사랑으로 사라진다.

'사나다 웰네스'의 사장 사나다 리오는, ""세계를 바꾸는 100인의 30대""에 선정되는 유능한 사업가. 그런 그녀가, 일찍이 마음을 나눈 미야자키 다이키와 15년만에 재회한 때, 다이키는 형사, 리오는 살인사건의 중요참고인이었다. 

여성 기업가인 주인공과 형사, 변호사 세 사람을 중심으로 전개되는 연쇄살인사건에 얽힌 러브 서스펜스 드라마",TBS
1241,SPEC(스펙),"['왓챠', '웨이브']",[],"['토다 에리카', '카세 료', '카미키 류노스케', '후쿠다 사키', '시로타 유', '토쿠이 유']",4.0,SPEC〜警視庁公安部公安第五課 未詳事件特別対策係事件簿〜,2010,범죄/드라마/TV드라마,일본,15세 관람가,통상적인 방법으로는 해결되지 않는 특수한 사건을 주로 담당하는 수사 1과에서 벌어지는 이야기.,TBS
1242,그날 본 꽃의 이름을 우리는 아직 모른다,,[],"['이리노 미유', '카야노 아이', '토마츠 하루카', '사쿠라이 타카히로', '하야미 사오리', '콘도 타카유키']",3.9,あの日見た花の名前を僕達はまだ知らない。,2011,애니메이션,일본,15세 관람가,"언제까지고, 언제까지고 사이좋게 지내는거다 -! 그렇게나 사이가 좋던 아이들 지금은 고등학생이 되어 마음이 뿔뿔이 흩어진채, 각각의 여름을 보내고 있었다. 은둔형 외토리가 되어 가고 있는 `진탄`, 날라리 여고생 처럼 되어 버린 '아나루`, 명문학교에 다니고 있는 '유키아츠' 와 '츠루코', 고등학교에 진학하지 않은채 이곳 저곳을 방랑하는 '포포' 그리고 모두가 변해 버린 와중에도, 홀로 변하지 않은 소녀 '멘마' 이들의 여름은 과연 어디로 흘러갈것인가....?",Fuji TV
1243,진격의 거인 3기 Part 2,"['왓챠', '넷플릭스']","['아라키 테츠로', '코이즈카 마사시', '아라키 테츠로', '코이즈카 마사시', '아라키 테츠로', '코이즈카 마사시']","['카지 유우키', '이시카와 유이', '이노우에 마리나', '타니야마 키쇼', '시마무라 유', '코바야시 유']",4.5,進撃の巨人,2019,애니메이션/공포/스릴러/액션,일본,청소년 관람불가,"거인을 둘러싼 의문은 쌓여만 가고, 엘렌을 비롯한 104기 병사들이 포함된 새로운 체제의 리바이반이 구성된다. 본격적으로 움직이기 시작한 그들의 앞을 가장 강한 최악의 적이 가로막는다.",NHK
1244,별나도 괜찮아 시즌 2,['넷플릭스'],[],"['제니퍼 제이슨 리', '키어 길크리스', '마이클 레파포트', '닉 도다니', '제나 보이드', '메건 수리']",4.1,Atypical,2018,코미디/드라마/TV드라마,미국,,"자폐 성향을 가진 18살 샘, 이제는 여자친구를 찾을 때가 되었다고 생각한다. 샘의 여친 찾기 여정은 가족으로부터의 분리로 이어지고, 이러한 샘의 모습은 샘을 케어하는 것이 전부였던 가족들, 특히 샘의 엄마에게는 인생을 뒤흔드는 변화이다.",Netflix
1245,별나도 괜찮아 시즌 1,['넷플릭스'],[],"['제니퍼 제이슨 리', '키어 길크리스', '마이클 레파포트', '닉 도다니', '제나 보이드', '브리짓 런디-페인']",4.0,Atypical,2017,코미디/드라마/TV드라마,미국,청소년 관람불가,"자폐 성향을 가진 18살 샘, 이제는 여자친구를 찾을 때가 되었다고 생각한다. 샘의 여친 찾기 여정은 가족으로부터의 분리로 이어지고, 이러한 샘의 모습은 샘을 케어하는 것이 전부였던 가족들, 특히 샘의 엄마에게는 인생을 뒤흔드는 변화이다.",Netflix
1246,슬기로운 감빵생활,"['디즈니+', '티빙']",[],"['박해수', '정경호', '정수정', '임화영', '김경남', '성동일']",4.0,슬기로운 감빵생활,2017,드라마/범죄/코미디/TV드라마,한국,15세 관람가,감옥을 배경으로 미지의 공간 속 사람들이 살아가는 모습을 그린 에피소드 드라마,tvN
1247,SKINS,,"['스콧 스미스', '사미르 레헴', '스콧 스미스', '사미르 레헴']","['제임스 뉴먼', '레이첼 세버나드', '대니 플레어티', '론 무스타파', '소피아 블랙-델리아', '카밀 크레센시아-밀스']",3.8,Skins,2011,틴에이저/TV드라마,"캐나다,영국",,"영국 드라마 SKINS의 미국 리메이크 버전으로 9명의 10대 들을 통해 그들의 방황과 일탈, 우정을 솔직하게 그려낸 청춘 드라마",MTV
1248,진격의 거인 The Final Season 파트 1,"['왓챠', '넷플릭스', '티빙']",[],"['카지 유우키', '이시카와 유이', '이노우에 마리나', '시모노 히로', '코바야시 유', '미카미 시오리']",4.4,進撃の巨人,2020,애니메이션/액션/모험/드라마/판타지/공포,일본,청소년 관람불가,'그 거인은 언제 어떤 시대에도 자유를 갈망하며 나아갔다. 자유를 위해 싸웠다. 그 이름은 진격의 거인'. 드디어 밝혀진 벽 밖의 진실과 거인의 정체,NHK
1249,N을 위하여,,"['츠카하라 아유코', '야마모토 타케요시', '츠카하라 아유코', '야마모토 타케요시', '츠카하라 아유코', '야마모토 타케요시']","['에이쿠라 나나', '쿠보타 마사타카', '카쿠 켄토', '코이데 케이스케', '토쿠이 요시미', '코니시 마나미']",3.5,Nのために,2014,스릴러/미스터리/드라마/TV드라마,일본,15세 관람가,한 살인사건에 연루된 사람들과 등장인물의 공통 이니셜 N의 관계를 교차시키며 사건의 진실을 밝히는 미스터리 이야기,TBS
1250,귀멸의 칼날: 환락의 거리편,"['왓챠', '티빙']",[],"['하나에 나츠키', '키토 아카리', '이시다 아키라', '시모노 히로', '마츠오카 요시츠구', '에노키 준야']",4.6,鬼滅の刃,2021,애니메이션/액션/판타지/스릴러,일본,청소년 관람불가,귀살대 음주 우즈이 텐겐을 중심으로 주인공들이 유곽에서 벌이는 흥미진진한 이야기를 그린 애니메이션,Fuji TV
1251,그레이스 앤 프랭키 시즌 1,['넷플릭스'],"['테이트 테일러', '테이트 테일러']","['제인 폰다', '릴리 톰린', '마틴 쉰', '샘 워터스톤', '준 다이앤 라파엘', '에단 엠브리']",4.0,Grace and Frankie,2015,드라마/코미디/TV드라마,미국,청소년 관람불가,남편들이 서로 사랑에 빠져 결혼을 발표하면서 오랜 라이벌에서 친구로 돌아선 그레이스와 프랭키의 이야기를 다룬 드라마.,Netflix
1252,귀멸의 칼날: 무한열차편,"['왓챠', '티빙']",[],"['하나에 나츠키', '키토 아카리', '시모노 히로', '마츠오카 요시츠구', '사쿠라이 타카히로', '오오츠카 호츄']",4.6,鬼滅の刃,2021,애니메이션/액션/판타지/스릴러,일본,,"오니의 습격으로 가족이 죽고 남겨진 주인공은 그 습격에서 살아남았지만 오니로 변해버린 여동생을 원래대로 되돌리기 위해, 그리고 가족을 죽인 오니에 복수하기 위한 여행을 떠나는 이야기.",Fuji TV
1253,만달로리안 시즌 1,['디즈니+'],"['데이브 필로니', '릭 파무이와', '데이브 필로니', '릭 파무이와', '브라이스 달라스 하워드', '데버라 차우', '타이카 와이티티', '데이브 필로니', '릭 파무이와', '브라이스 달라스 하워드', '데버라 차우', '타이카 와이티티', '데이브 필로니', '릭 파무이와', '브라이스 달라스 하워드', '데버라 차우', '타이카 와이티티']","['페드로 파스칼', '칼 웨더스', '지나 카라노', '타이카 와이티티', '베르너 헤어조크', '오미드 압타히']",4.1,The Mandalorian,2019,액션/모험/판타지/SF/TV드라마,미국,12세 관람가,제국의 몰락 이후 퍼스트 오더가 등장하기 전. 신 공화국으로부터 멀리 떨어진 머나먼 우주 저편에서 외로운 총잡이의 행적을 따라간다.,Disney+
1254,헌터X헌터 Part 1,"['왓챠', '티빙']",[],"['카키하라 테츠야', '이토 카나에', '타케타츠 아야나', '아마미야 소라', '요시노 히로유키', '나카무라 유이치']",4.3,HUNTER×HUNTER,2011,액션/애니메이션/판타지/모험,일본,12세 관람가,"곤프릭스는 보물섬에 사는 어린 소년이다. 곤은 아버지가 죽었다고 알려준 ‘헌터’ 카이트로부터 가르침을 받았지만, 아버지가 어디에선가 생존하여 최고의 헌터로 목숨을 걸고 미지의 아이템, 숨겨진 보물이나 진본을 찾아 다니고 있다고 생각한다. 곤은 전문 헌터가 되기로 결심하고 섬을 떠난다. 헌터가 되기 위해서는 반드시 헌터시험을 통과해야 되는데, 그 와중에 다른 세 명의 지원자 크라피카, 레오리오, 키르아와 친구가 된다. 곤은 이 어려운 관문을 넘어서 세계 최고의 헌터가 될 수 있을까? 그리고 아버지를 만날 수 있을까?",
1255,기븐,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['야노 쇼고', '우치다 유우마', '나카자와 마사토모', '에구치 타쿠야', '아사누마 신타로', '이마이 후미야']",4.3,ギヴン,2019,애니메이션/음악/BL/드라마,일본,청소년 관람불가,망가진 기타를 가지고 사는 주인공이 고교생이라 볼 수 없는 기타 연주 실력을 가진 소년과 만나게 되면서 일어나는 이야기를 그린 애니메이션.,Fuji TV
1256,츠루네 -카제마이고교 궁도부-,"['왓챠', '웨이브', '티빙']","['야마무라 타쿠야', '야마무라 타쿠야', '야마무라 타쿠야', '야마무라 타쿠야']","['우에무라 유토', '이치카와 아오이', '스즈키 료타', '야노 쇼고', '이시카와 카이토', '아사누마 신타로']",4.3,ツルネ ―風舞高校弓道部―,2018,애니메이션/스포츠,일본,15세 관람가,"중학교 마지막 경기 패배 후 활을 쏘는 것을 그만두고 고등학교에 입학한 미나토. 그곳에서 또다시 궁도부에 들어올 것을 권유받고, 미나토는 다시 과녁 앞에 서기를 결심한다.",NHK
1257,도쿄 리벤저스,"['왓챠', '웨이브', '티빙']",[],"['유키 신', '와키 아즈미', '오오사카 료타', '하야시 유우', '스즈키 타츠히사', '미즈나카 마사아키']",4.1,東京リベンジャーズ,2021,애니메이션/액션/드라마,일본,청소년 관람불가,아르바이트를 전전하는 생활을 하던 주인공이 어느 날 사고를 당한 후 인생의 절정이었던 12년 전 중학교 시절로 타임슬립하게 된 후 펼쳐지는 이야기,MBS
1258,그 때 키스했더라면,['웨이브'],"['모토하시 케이타', '히구레 켄', '유키 사이토', '모토하시 케이타', '히구레 켄', '유키 사이토', '모토하시 케이타', '히구레 켄', '유키 사이토']","['마츠자카 토리', '아소 쿠미코', '이우라 아라타', '미우라 쇼헤이', '네코제 츠바키', '록카쿠 신지']",3.7,あのときキスしておけば,2021,로맨틱 코미디/로맨스/TV드라마/코미디,일본,,"자신이 좋아하는 만화가와 사랑에 빠지기 시작한 주인공, 어느 날 그녀가 사고를 당해 중년 아저씨 몸에 들어온 상태로 주인공 앞에 나타나면서 벌어지는 이야기",TV Asahi
1259,파워 디지몬,,[],"['키우치 레이코', '나츠키 리오', '우라와 메구미', '히라타 히로아키', '아라키 카에', '박로미']",3.8,デジモンアドベンチャー02,2000,애니메이션,일본,7세 관람가,"혼고 아키요시가 원안을 담당한 이 작품의 풀 제목은 디지털 몬스터 (Digital Monster)이지만 애칭처럼 줄여서 부르는 디지몬이라는 이름으로 더 널리 알려져 있다. 포켓몬스터의 대 흥행 후 일본에서 몬스터물이 하나의 장르처럼 인식되며 많은 작품들이 제작되었는데, 특히 그 중에서도 이 디지몬은 포켓몬의 진화 시스템 같은 요소를 받아들이면서도 현실 세계의 소년 소녀들의 소환과 디지몬과의 협력, 디지몬 월드와 현실 세계간의 연관성, 명분 있는 대결 구도등 새로운 설정과 내용, 에피소드를 새로이 만들어내서 단순 아류 작이 아닌 독립된 하나의 작품으로서 큰 인기를 모았다.",Fuji TV
1260,슈가 슈가 룬,"['왓챠', '티빙']",[],"['우란 사키코', '마츠모토 마리카', '이하타 주리', '사이토 아야카', '미츠하시 카나코', '츠다 켄지로']",4.2,シュガシュガルーン,2005,코미디/판타지/애니메이션,일본,12세 관람가,"쇼콜라와 바닐라는 마계의 차기 여왕 후보로 라이벌 관계이면서도 굉장히 친한 친구 사이이다. 그러던 어느 날 두 사람은 차기 여왕을 뽑는 시험을 치르기 위해 인간계로 긴 여행을 떠난다. 시험의 내용은 인간의 하트(자신을 향한 마음의 결정)를 보다 많이 모으는 것! 인간계의 학교로 동시에 전학을 온 두 사람은 첫 날부터 인간의 하트를 되도록 많이 모으려고 노력하지만, 어째 내성적인 성격의 바닐라에 비해 마계 최고의 인기녀인 쇼콜라는 인간들의 사랑을 전혀 받지 못한다. 게다가 ’피에르’란 수수께끼의 남자에게 사랑을 느끼고 마는 쇼콜라. 인간과는 달리 마녀는 사랑에 빠지면 하트를 빼앗겨 영혼을 영원히 빼앗기고 만다!! 과연 쇼콜라는 자신의 하트를 지킬 수 있을 것인가? 그리고 차기 여왕 자리의 행방은..??",TV Tokyo
1261,배틀짱,,[],"['이주창', '김광국', '이용신', '정선혜', '정명준', '박경혜']",3.8,The Law of Ueki,2005,애니메이션,일본,12세 관람가,"""쓰레기를 나무로 바꾸는 힘"" 이라는 신비한 능력을 받게 된 주인공의 이야기를 그린 애니메이션",TV Tokyo
1262,아바타 - 아앙의 전설 시즌 1,"['넷플릭스', '티빙']",[],"['잭 타일러', '메이 휘트먼', '밋첼 머소', '단테 바스코', '잭 드 세나', '디 브래들리 베이커']",4.2,Avatar: The Last Airbender,2005,애니메이션/액션/모험/가족/판타지/미스터리,미국,7세 관람가,"물의 부족, 흙의 왕국, 불의 제국, 공기의 유목민은 불의 제국이 일으킨 전쟁으로 평화로운 균형을 잃게 된다. 사람들은 4개의 원소를 모두 다룰 줄 아는 아바타가 나타나 이 세상에 평화를 다시 돌아오기를 기다린다. 물의 부족인 카타라와 소카 남매는 빙하 속에 갇힌 아바타, 공기의 유목민 출신 아앙을 구해준다. 아바타의 운명을 타고난 아앙은 4가지 요소를 다루는 능력을 마스터하고 불의 제국을 물리쳐야 하지만 이 거대한 임무를 감당하는 것이 달갑지 만은 않다. 카타라와 그녀의 용감한 오빠 소카의 도움을 받으며 아앙은 세계를 구하기 위한 위험한 여행을 시작한다.",Nickelodeon
1263,슈퍼갤즈,,['코바야시 츠네오'],[],3.7,슈퍼갤즈,2001,애니메이션,일본,12세 관람가,학교 최고의 날라리 란의 좌충우돌 못말리는 일상을 그린 애니메이션,TV Tokyo
1264,신의 괴도 잔느,"['왓챠', '웨이브']",[],"['쿠와시마 호우코', '치바 스스무', '니시하라 쿠미코', '야지마 아키코', '마츠이 나오코', '타카하시 나오즈미']",3.8,神風怪盗ジャンヌ,1999,애니메이션/판타지,일본,15세 관람가,평범한 고등학생이자 세상을 떠들썩하게 만든 괴도 잔느 쿠사카베 마론. 잔 다르크의 환생인 그녀는 신의 힘을 되찾기 위해 미술품에 씌워진 악마를 처리하던 중 신밧드를 만나 그와 경쟁한다.,TV Asahi
1265,란마 1/2,,"['시바야마 츠토무', '사와이 코지', '시바야마 츠토무', '사와이 코지']","['강수진', '최덕희', '서혜정', '지미애', '정경애', '김수경']",3.7,らんま1/2,1989,코미디/애니메이션,일본,,"천도 도장에 중국으로 수련을 하러 갔던 세나 아버지의 친구와 그 아들이 도착한다는 소식에 집안이 어수선해진다. 세나의 아버지는 친구의 아들과 자신의 딸을 결혼시켜 도장을 잇게 할 기대에 부풀어 있으나 도착한 것은 귀여운 여자아이와 한마리 거대한 팬더. 란마의 정체를 알게 된 세나 아버지는 하나, 두나, 세나 중에서 란마의 약혼자를 결정하도록 하고 하지만 하나와 두나는 관심도 보이지 않은 채 세나에게 약혼건을 떠밀어 버리고 란마는 천도 도장에 머물게 된다.",Fuji TV
1266,학원 앨리스,,"['오오모리 타카히로', '오오모리 타카히로', '오오모리 타카히로']","['우에다 카나', '쿠기미야 리에', '박로미', '야스다 미와', '오노 후유카', '사이토 치와']",3.8,学園アリス,2004,애니메이션/코미디/판타지/로맨스,일본,전체 관람가,히구치 타치바나의 '학원 앨리스'를 원작으로 제작한 애니메이션,NHK BS
1267,개구리 중사 케로로 1기,"['왓챠', '웨이브', '티빙']","['사토 준이치', '야마모토 유스케', '사토 준이치', '야마모토 유스케', '사토 준이치', '야마모토 유스케']","['와타나베 쿠미코', '코자쿠라 에츠코', '나카타 조지', '코야스 타케히토', '쿠사오 타케시', '쿠와시마 호우코']",3.5,ケロロ軍曹,2004,애니메이션/코미디,일본,15세 관람가,지구 정복이라는 야심찬 계획을 품고 먼 우주의 케론별에서 파견된 개구리 케로로와 소대원들. 그러나 뜻하지 않게 히나타 남매가 사는 집으로 불시착한 케로로 소대의 좌충우돌 지구 생활기가 펼쳐진다.,TV Tokyo
1268,다!다!다! 1,,[],"['이지영', '이미자', '여민정', '양정화', '이현진', '한신정']",3.9,다!다!다! 1,2000,애니메이션,일본,7세 관람가,외계인 아이 루다를 키우는 예나와 사춘기에 접어든 중학생 우주의 좌충우돌 이야기,NHK
1269,최고의 이혼,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['나가야마 에이타', '오노 마치코', '마키 요코', '아야노 고', '이치카와 미와코', '마츠오 사토루']",3.6,最高の離婚,2013,로맨틱 코미디/TV드라마,일본,15세 관람가,"30대의 미숙한 결혼관을 통해, 결혼 본연의 자세나 가족에 대해 그리는 러브 코미디 드라마.",Fuji TV
1270,세일즈맨 칸타로의 달콤한 비밀,['넷플릭스'],"['이시다 유스케', '이시다 유스케']","['오노에 마츠야', '이시카와 렌', '미나가와 사루토키', '오노우에 히로유키', '오노에 마츠야', '이시카와 렌']",3.2,さぼリーマン甘太朗,2017,드라마/TV드라마,일본,12세 관람가,출판사의 영업사원으로 근무하는 주인공이 일을 최대한 빨리 끝내고 남은 시간에는 스위트의 세계에 빠지는 이야기를 그린 드라마,TV Tokyo
1271,정글은 언제나 맑은 뒤 흐림,,[],[],3.6,Hare+Guu,2001,애니메이션,일본,15세 관람가,정글에 엄마와 단둘이 살고 있는 소년 하레. 어느날 또래의 소녀 구우가 하레의 집에서 함께 살게 되었다. 처음엔 구우에게 쑥쓰러움을 타던 하레. 하지만 구우의 진정한 면모(?)를 보게 되면서 점점 이상한 트러블에 휘말려드는데...,TV Tokyo
1272,비스타즈,['넷플릭스'],[],"['코바야시 치카히로', '센본기 아야카', '오노 유우키', '타네자키 아츠미', '에노키 준야', '우치다 유우마']",3.4,BEASTARS,2019,애니메이션/드라마,일본,,한 울타리 안에 육식동물과 초식동물이 같이 있으면서 벌어지게 되는 이야기,
1273,디지몬 테이머즈,,[],"['츠무라 마코토', '노자와 마사코', '야마구치 마유미', '타다 아오이', '오리카사 후미코', '이마이 유카']",3.6,デジモンテイマーズ,2001,애니메이션,일본,전체 관람가,"디지몬 시리즈 중에서 세번째 시리즈. 스토리상 전편인 디지몬 어드벤쳐와 파워디지몬과는 전혀 연관이 없고, 등장인물도 바뀌었지만 등장하는 디지몬들의 일부는 전편에서 등장하는 디지몬들과 같다.",TV Tokyo
1274,카드캡터 체리 1기 - 크로우 카드편,,"['아사카 모리오', '아사카 모리오']","['탄게 사쿠라', '히사카와 아야', '이와오 준코', '쿠마이 모토코', '유카나', '탄게 사쿠라']",4.1,カードキャプターさくら クロウカード編,1998,애니메이션,일본,7세 관람가,"초등학교 4학년인 체리는 체육을 좋아하는 명랑하고 평범한 소녀... 어느 날 밤 이상한 꿈을 꾸고 난 체리는 아빠의 서재에서 꿈에서 본 책을 발견한다. 책 속에서 발견한 카드를 읽는 순간, 신비한 빛이 쏟아지면서 봉인된 카드의 파수꾼인 ""케로베로스""를 잠에서 깨운다. 그러나 카드집을 열면서 크로우 카드의 봉인이 풀려 다시 카드를 모아야 하는데.. 얼떨결에 카드캡터가 되었지만 케로(케로베로스)의 도움으로 풀려난 카드들을 하나씩 봉인시킨다.",NHK
1275,꼬마 마법사 레미 비바체,,['이가라시 타쿠야'],[],3.8,おジャ魔女どれみ,2002,애니메이션,일본,,"드디어 정식 마법사가 되는 것을 여왕님으로부터약속받은 레미와 친구들은 매일 마법세계로부터의 전갈을 목이 빠지도록 기다리고 있다. 하지만 마법세계로부터 아무 연락도 받지 못한 채 새 학기를 맞게 된 레미와 친구들은 금색의 머리를 한 귀여운 여자아이를 만나게 되고 그녀가 누구인지 머리를 갸웃하는 레미와 친구들에게 ""모르겠어? 도레미? 나 하나야! 초등학교에 함께 다니고 싶어 마법을 부려 6학년이 됐다구~"" 라고 얘기하는데..인간계의 상식 같은 건 알지도 못하는 하나를 더한 레미와 친구들의 학교생활!! 대체 어떻게 될 것인가??",TV Asahi
1276,꼬마 마법사 레미 포르테,,['이가라시 타쿠야'],"['박영희', '박소라', '박선영', '채의진', '박신희']",3.8,おジャ魔女どれみ,2001,애니메이션,일본,,"목숨을 걸고 마법계 아기인 하나를 구해낸 꼬마마법사들! 하지만, 하나를 구하려다 수정구슬을 깨뜨리는 바람에 마법사 자격을 잃었고, 하나와도 슬픈 이별을 하게 되었다. 새로운 모습으로 다시 돌아오는 꼬마마법사들! 여왕님의 배려로 초보마법사로 돌아가 다시 정식마법사에 도전하게 되는데! 이번 마법사 시험은 '과자 만들기' 이다. 이른바 <파티시에 시험>!! 꼬마마법사들이 정식마법사가 되는 것을 반대하는 원로원 마녀들이 있는데, 꼬마마법사들은 이들도 맛있다고 인정할 만큼 맛있고 훌륭한 과자를 만들어내야 한다. 미국에서 온 '모모'까지 합세해 5총사가 된 꼬마마법사들은 마법당을 제과점으로 바꾸고, '행복한 기분'이 들게 하는 맛있는 과자를 만들기 위해 열심히 노력한다. 그러나, 이들에게도 뜻하지 않은 어려움이 생기게 된다.",TV Asahi
1277,나루토 1기,"['웨이브', '티빙']",['다테 하야토'],"['타케우치 준코', '스기야마 노리아키', '나카무라 치에']",4.1,Naruto,2002,애니메이션,일본,12세 관람가,"닌자 마을 중 하나인 나뭇잎 마을. 매일같이 장난만 치며 공부도 뒤쳐져서 졸업조차 불안하기만 한 문제아 나루토. 그런 그이지만 마을에서 제일 가는 닌자, '호카게'가 되고 싶다는 커다란 꿈을 지니고 있다. 하지만, 자신의 출생의 비밀을 안 나루토는 결의를 새롭게 다지고 같은 학교 학생인 사스케, 사쿠라와 함께 닌자로서의 첫 발을 내딛게 된다.",TV Tokyo
1278,오늘부터 신령님,"['왓챠', '넷플릭스', '티빙']",[],"['미모리 스즈코', '타치바나 신노스케', '키시오 다이스케', '오카모토 노부히코', '이시다 아키라', '사토 사토미']",4.3,神様はじめました,2012,애니메이션/판타지/로맨스/코미디,일본,15세 관람가,빚 때문에 아버지는 가출하고 집은 압류당해 젊은 나이에 홈리스 신세가 된 여고생 모모조노 나나미에게 수상한 남자가 나타나면서 벌어지는 이야기,TV Tokyo
1279,CSI: 마이애미 시즌 1,"['왓챠', '티빙']","['조 채플', '조 채플', '조 채플', '조 채플', '터커 게이츠', '스캇 브라질', '브라이언 스파이서', '데란 사라피안', '찰스 코렐', '다니엘 아티아스', '터커 게이츠', '스캇 브라질', '브라이언 스파이서', '데란 사라피안', '찰스 코렐', '다니엘 아티아스', '그레그 야타네스', '리처드 피어스', '데이빗 그로스먼', '그레그 야타네스', '리처드 피어스', '데이빗 그로스먼', '아티 맨델버그', '지놋 스작', '피터 마클', '그레그 야타네스', '리처드 피어스', '데이빗 그로스먼', '아티 맨델버그', '지놋 스작', '피터 마클', '아티 맨델버그', '지놋 스작', '피터 마클']","['데이빗 카루소', '에밀리 프록터', '로리 코크레인', '칸디 알렉산더', '애덤 로드리게즈', '데이빗 카루소']",4.1,CSI: Miami,2002,액션/범죄/드라마/TV드라마/스릴러/미스터리,미국,15세 관람가,마이애미 과학수사대가 해결해 나가는 각종 사건을 그린 드라마,CBS
1280,고독한 미식가 시즌 1,['웨이브'],"['미조구치 켄지', '호라이 타다아키', '미조구치 켄지', '호라이 타다아키']","['마츠시게 유타카', '마츠시게 유타카']",4.0,孤独のグルメ,2012,드라마/TV드라마,일본,12세 관람가,독신 주의자 남자가 혼자 도쿄와 오사카의 소박하고 오래된 식당을 찾아다니면서 일본 고유의 음식 맛을 즐기는 이야기.,TV Tokyo
1281,언브레이커블 키미 슈미트 시즌 1,['넷플릭스'],"['트리스트람 샤피로', '트리스트람 샤피로', '트리스트람 샤피로']","['엘리 켐퍼', '제인 크라코스키', '타이터스 버지스', '사라 체이스', '이기홍', '로렌 애덤스']",3.7,Unbreakable Kimmy Schmidt,2015,코미디/드라마/TV드라마,미국,15세 관람가,핵 전쟁으로 지구가 멸망했다는 교주의 말을 믿은채 지하 벙커에서 18년간 지내다가 구출된 키미 슈미트에게 벌어지는 이야기를 다룬 드라마.,Netflix
1282,엄브렐러 아카데미 시즌 1,['넷플릭스'],[],"['엘리엇 페이지', '에이단 갤러거', '로버트 시한', '톰 호퍼', '데이비드 카스타네다', '카메론 브리튼']",3.4,The Umbrella Academy,2019,액션/모험/코미디/드라마/판타지/SF/TV드라마,미국,,문제투성이 슈퍼히어로 패밀리가 다시 뭉친다. 그들을 한자리에 모은 건 아버지의 죽음에 얽힌 미스터리. 그들은 세계 종말의 위협과 또 다른 문제들도 해결해야 한다.,Netflix
