,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
2500,포 올 맨카인드 시즌 1,['애플 TV+'],[],"['조엘 키나만', '사라 존스', '마이클 도먼', '샨텔 반샌튼', '조디 발포어', '티모시 웨어힐']",3.9,For All Mankind,2019,SF,미국,,"잠깐 상상해보자. 끝없이 경쟁하며 치열하게 우주 개발을 매진하는 세상. 그 속에서 우리는 어떤 모습으로 살아갈지, NASA 우주 비행사들과 가족의 위태로운 삶을 조명하며 매혹적인 '만약'의 역사 속으로 빠져보자. '아웃랜더', '배틀스타 갤럭티카'를 제작한 로널드 D. 무어의 작품.",Apple TV+
2501,무인시대,['웨이브'],"['윤창범', '신창석', '김성근']","['서인석', '김흥기', '박용우', '이덕화', '김갑수', '윤승원']",3.4,무인시대,2003,시대극/역사/TV드라마,한국,15세 관람가,뒤틀리고 가려진 고려조 무인 영웅들을 민족사의 역동성과 진취성에 맞춰 재조명하는 드라마,KBS1
2502,몬티 파이튼의 비행 서커스 시즌 2,['넷플릭스'],[],"['존 클리즈', '그레이엄 채프먼', '테리 존스', '에릭 아이들', '마이클 폴린', '테리 길리엄']",3.9,Monty Python's Flying Circus,1970,코미디,영국,,-,Netflix
2503,베트남 전쟁,,"['켄 번스', '린 노빅']",[],4.3,The Vietnam War,2017,다큐멘터리/역사,미국,,얻을 것도 명분도 없었던 전쟁. 무수한 사상자만 내고 처참한 패배로 끝난 전쟁. 말하는 것조차 금기시되었던 전쟁. 무서운 악몽과도 같았던 베트남 전쟁에 대해 이제 함께 입을 연다.,
2504,선사시대: 공룡이 지배하던 지구,['애플 TV+'],[],[],4.2,Prehistoric Planet,2022,다큐멘터리,영국,,"존 패브로와 '살아 있는 지구' 제작자들이 만든 이 장대한 다큐멘터리에서는 전례 없는 경이로움을 경험할 수 있다. 웅장한 공룡과 특별한 생물들이 땅과 바다, 하늘을 누볐던 6,600만 년 전으로 거슬러 올라간다.",Apple TV+
2505,포 올 맨카인드 시즌 3,['애플 TV+'],[],"['조엘 키나만', '샨텔 반샌튼', '조디 발포어', '소냐 왈거', '크리스 마샬', '신디 우']",3.7,For All Mankind,2022,SF,미국,,"잠깐 상상해보자. 끝없이 경쟁하며 치열하게 우주 개발을 매진하는 세상. 그 속에서 우리는 어떤 모습으로 살아갈지, NASA 우주 비행사들과 가족의 위태로운 삶을 조명하며 매혹적인 '만약'의 역사 속으로 빠져보자. '아웃랜더', '배틀스타 갤럭티카'를 제작한 로널드 D. 무어의 작품.",Apple TV+
2506,미즈 마블,['디즈니+'],[],"['이만 벨라니', '아라미스 나이트', '리시 샤', '맷 린츠', '제노비아 샤로프', '모한 카푸르']",2.7,Ms. Marvel,2022,액션/모험/코미디/TV드라마,미국,12세 관람가,"저지시티에 살고 있는 무슬림계 미국 10대 소녀인 카말라 칸 이야기를 다룬다. 게임에 죽고 살며 열렬한 팬 픽션 작가인 카말라는 슈퍼 히어로 광팬이기도 한데, 특히 캡틴 마블에 대한 팬심은 상상을 초월한다. 카말라는 학교뿐만 아니라 집에서도 떠도는 느낌을 받고는 하지만, 결국 자신이 우러러보던 영웅처럼 초능력을 얻게 되는데... 초능력이 있으면 살기 편한 거 아닌가?",Disney+
2507,오비완 케노비,['디즈니+'],"['데버라 차우', '데버라 차우']","['이완 맥그리거', '헤이든 크리스텐슨', '모세스 잉그람', '비비안 라이라 블레어', '조엘 에저튼', '루퍼트 프렌드']",3.2,Obi-Wan Kenobi,2022,액션/모험/SF/TV드라마,미국,,"케노비는 <스타워즈 에피소드 3: 시스의 복수>에서 드라마틱한 인생 최악의 패배를 겪었다. 절친한 벗이자 제다이 견습생인 아나킨 스카이워커가 타락하여 사악한 시스 군주 다스 베이더가 된 것. 10년이 흐른 지금, 이야기가 시작된다.",Disney+
2508,포 올 맨카인드 시즌 2,['애플 TV+'],[],"['크리스 마샬', '케이시 존슨', '조엘 키나만', '마이클 도먼', '렌 슈미트', '사라 존스']",3.9,For All Mankind,2021,SF,미국,,"잠깐 상상해보자. 끝없이 경쟁하며 치열하게 우주 개발을 매진하는 세상. 그 속에서 우리는 어떤 모습으로 살아갈지, NASA 우주 비행사들과 가족의 위태로운 삶을 조명하며 매혹적인 '만약'의 역사 속으로 빠져보자. '아웃랜더', '배틀스타 갤럭티카'를 제작한 로널드 D. 무어의 작품.",Apple TV+
2509,"영화, 보기의 미학",['넷플릭스'],[],[],3.2,Voir,2021,다큐멘터리,미국,,-,Netflix
2510,비틀즈: 겟 백,['디즈니+'],['피터 잭슨'],"['존 레논', '폴 맥카트니', '조지 해리슨', '링고 스타', '비틀즈']",4.4,The Beatles: Get Back,2021,다큐멘터리/음악,"영국,뉴질랜드,미국",,"전설적인 밴드 `비틀즈`의 멤버 존 레논, 폴 매카트니, 조지 해리슨, 링고 스타의 이야기와 그들의 마지막 라이브 공연인 런던의 옥상 콘서트를 최초로 담고 있는 다큐멘터리 영화",Disney+
2511,몬티 파이튼의 비행 서커스 시즌 1,['넷플릭스'],[],"['존 클리즈', '그레이엄 채프먼', '테리 존스', '에릭 아이들', '마이클 폴린', '테리 길리엄']",3.7,Monty Python's Flying Circus,1969,코미디,영국,,-,Netflix
2512,환상특급 시즌 1,['웨이브'],[],[],2.9,The Twilight Zone,2019,드라마/판타지/공포/TV드라마,미국,,50년대 인기 티비 시리즈였던 환상 특급을 새롭게 각색하여 만든 드라마,CBS
